"country","sex","field","level.of.education","year","percent","flags"
"Canada","F","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.437,""
"Canada","M","Agriculture, forestry, fisheries and veterinary","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.894,""
"Canada","F","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,16.424,""
"Canada","M","Health and welfare","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,7.127,""
"Canada","F","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,23.981,""
"Canada","M","Health and welfare","Master’s or equivalent level (ISCED2011 level 7)",2017,13.834,""
"Canada","F","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,12.535,""
"Canada","M","Health and welfare","Doctoral or equivalent level  (ISCED2011 level 8)",2017,6.182,""
"Canada","F","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.631,""
"Canada","M","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.749,""
"Canada","F","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,0.146,""
"Canada","M","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,0.283,""
"Canada","F","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Canada","M","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Czech Republic","F","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"Czech Republic","M","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"Czech Republic","F","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"Czech Republic","M","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"Czech Republic","F","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Czech Republic","M","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Czech Republic","F","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,13.57,""
